Datum,Spieltag,Heimmannschaft,Gastmannschaft
13/08/2021 20:30   (Fri),1,Borussia Mönchengladbach,FC Bayern München
14./15.08.2021 ,1,Borussia Dortmund,Eintracht Frankfurt
14./15.08.2021 ,1,VfL Wolfsburg,VfL Bochum
14./15.08.2021 ,1,1. FC Union Berlin,Bayer 04 Leverkusen
14./15.08.2021 ,1,VfB Stuttgart,SpVgg Greuther Fürth
14./15.08.2021 ,1,1. FSV Mainz 05,RB Leipzig
14./15.08.2021 ,1,FC Augsburg,TSG Hoffenheim
14./15.08.2021 ,1,DSC Arminia Bielefeld,Sport-Club Freiburg
14./15.08.2021 ,1,1. FC Köln,Hertha BSC
20.-22.08.2021 ,2,FC Bayern München,1. FC Köln
20.-22.08.2021 ,2,RB Leipzig,VfB Stuttgart
20.-22.08.2021 ,2,Eintracht Frankfurt,FC Augsburg
20.-22.08.2021 ,2,Bayer 04 Leverkusen,Borussia Mönchengladbach
20.-22.08.2021 ,2,Sport-Club Freiburg,Borussia Dortmund
20.-22.08.2021 ,2,TSG Hoffenheim,1. FC Union Berlin
20.-22.08.2021 ,2,Hertha BSC,VfL Wolfsburg
20.-22.08.2021 ,2,VfL Bochum,1. FSV Mainz 05
20.-22.08.2021 ,2,SpVgg Greuther Fürth,DSC Arminia Bielefeld
27.-29.08.2021 ,3,FC Bayern München,Hertha BSC
27.-29.08.2021 ,3,Borussia Dortmund,TSG Hoffenheim
27.-29.08.2021 ,3,VfL Wolfsburg,RB Leipzig
27.-29.08.2021 ,3,1. FC Union Berlin,Borussia Mönchengladbach
27.-29.08.2021 ,3,VfB Stuttgart,Sport-Club Freiburg
27.-29.08.2021 ,3,1. FSV Mainz 05,SpVgg Greuther Fürth
27.-29.08.2021 ,3,FC Augsburg,Bayer 04 Leverkusen
27.-29.08.2021 ,3,DSC Arminia Bielefeld,Eintracht Frankfurt
27.-29.08.2021 ,3,1. FC Köln,VfL Bochum
11./12.09.2021 ,4,RB Leipzig,FC Bayern München
11./12.09.2021 ,4,Eintracht Frankfurt,VfB Stuttgart
11./12.09.2021 ,4,Bayer 04 Leverkusen,Borussia Dortmund
11./12.09.2021 ,4,1. FC Union Berlin,FC Augsburg
11./12.09.2021 ,4,Borussia Mönchengladbach,DSC Arminia Bielefeld
11./12.09.2021 ,4,Sport-Club Freiburg,1. FC Köln
11./12.09.2021 ,4,TSG Hoffenheim,1. FSV Mainz 05
11./12.09.2021 ,4,VfL Bochum,Hertha BSC
11./12.09.2021 ,4,SpVgg Greuther Fürth,VfL Wolfsburg
17.-19.09.2021 ,5,FC Bayern München,VfL Bochum
17.-19.09.2021 ,5,Borussia Dortmund,1. FC Union Berlin
17.-19.09.2021 ,5,VfL Wolfsburg,Eintracht Frankfurt
17.-19.09.2021 ,5,VfB Stuttgart,Bayer 04 Leverkusen
17.-19.09.2021 ,5,1. FSV Mainz 05,Sport-Club Freiburg
17.-19.09.2021 ,5,FC Augsburg,Borussia Mönchengladbach
17.-19.09.2021 ,5,Hertha BSC,SpVgg Greuther Fürth
17.-19.09.2021 ,5,DSC Arminia Bielefeld,TSG Hoffenheim
17.-19.09.2021 ,5,1. FC Köln,RB Leipzig
24.-26.09.2021 ,6,RB Leipzig,Hertha BSC
24.-26.09.2021 ,6,Eintracht Frankfurt,1. FC Köln
24.-26.09.2021 ,6,Bayer 04 Leverkusen,1. FSV Mainz 05
24.-26.09.2021 ,6,1. FC Union Berlin,DSC Arminia Bielefeld
24.-26.09.2021 ,6,Borussia Mönchengladbach,Borussia Dortmund
24.-26.09.2021 ,6,Sport-Club Freiburg,FC Augsburg
24.-26.09.2021 ,6,TSG Hoffenheim,VfL Wolfsburg
24.-26.09.2021 ,6,VfL Bochum,VfB Stuttgart
24.-26.09.2021 ,6,SpVgg Greuther Fürth,FC Bayern München
01.-03.10.2021 ,7,FC Bayern München,Eintracht Frankfurt
01.-03.10.2021 ,7,RB Leipzig,VfL Bochum
01.-03.10.2021 ,7,Borussia Dortmund,FC Augsburg
01.-03.10.2021 ,7,VfL Wolfsburg,Borussia Mönchengladbach
01.-03.10.2021 ,7,VfB Stuttgart,TSG Hoffenheim
01.-03.10.2021 ,7,1. FSV Mainz 05,1. FC Union Berlin
01.-03.10.2021 ,7,Hertha BSC,Sport-Club Freiburg
01.-03.10.2021 ,7,DSC Arminia Bielefeld,Bayer 04 Leverkusen
01.-03.10.2021 ,7,1. FC Köln,SpVgg Greuther Fürth
15.-17.10.2021 ,8,Borussia Dortmund,1. FSV Mainz 05
15.-17.10.2021 ,8,Eintracht Frankfurt,Hertha BSC
15.-17.10.2021 ,8,Bayer 04 Leverkusen,FC Bayern München
15.-17.10.2021 ,8,1. FC Union Berlin,VfL Wolfsburg
15.-17.10.2021 ,8,Borussia Mönchengladbach,VfB Stuttgart
15.-17.10.2021 ,8,Sport-Club Freiburg,RB Leipzig
15.-17.10.2021 ,8,TSG Hoffenheim,1. FC Köln
15.-17.10.2021 ,8,FC Augsburg,DSC Arminia Bielefeld
15.-17.10.2021 ,8,SpVgg Greuther Fürth,VfL Bochum
22.-24.10.2021 ,9,FC Bayern München,TSG Hoffenheim
22.-24.10.2021 ,9,RB Leipzig,SpVgg Greuther Fürth
22.-24.10.2021 ,9,VfL Wolfsburg,Sport-Club Freiburg
22.-24.10.2021 ,9,VfB Stuttgart,1. FC Union Berlin
22.-24.10.2021 ,9,1. FSV Mainz 05,FC Augsburg
22.-24.10.2021 ,9,Hertha BSC,Borussia Mönchengladbach
22.-24.10.2021 ,9,DSC Arminia Bielefeld,Borussia Dortmund
22.-24.10.2021 ,9,1. FC Köln,Bayer 04 Leverkusen
22.-24.10.2021 ,9,VfL Bochum,Eintracht Frankfurt
29.-31.10.2021 ,10,Borussia Dortmund,1. FC Köln
29.-31.10.2021 ,10,Eintracht Frankfurt,RB Leipzig
29.-31.10.2021 ,10,Bayer 04 Leverkusen,VfL Wolfsburg
29.-31.10.2021 ,10,1. FC Union Berlin,FC Bayern München
29.-31.10.2021 ,10,Borussia Mönchengladbach,VfL Bochum
29.-31.10.2021 ,10,Sport-Club Freiburg,SpVgg Greuther Fürth
29.-31.10.2021 ,10,TSG Hoffenheim,Hertha BSC
29.-31.10.2021 ,10,FC Augsburg,VfB Stuttgart
29.-31.10.2021 ,10,DSC Arminia Bielefeld,1. FSV Mainz 05
05.-07.11.2021 ,11,FC Bayern München,Sport-Club Freiburg
05.-07.11.2021 ,11,RB Leipzig,Borussia Dortmund
05.-07.11.2021 ,11,VfL Wolfsburg,FC Augsburg
05.-07.11.2021 ,11,VfB Stuttgart,DSC Arminia Bielefeld
