matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,Season
1.0,Bayern Munich,Wolfsburg,2,1,1,3,0,,0,,1,1011
1.0,FC Koln,Kaiserslautern,1,3,-2,0,0,,0,,2,1011
1.0,Freiburg,St Pauli,1,3,-2,0,0,,0,,2,1011
1.0,Hamburg,Schalke 04,2,1,1,3,0,,0,,1,1011
1.0,Hannover,Ein Frankfurt,2,1,1,3,0,,0,,1,1011
1.0,Hoffenheim,Werder Bremen,4,1,3,3,0,,0,,1,1011
1.0,M'gladbach,Nurnberg,1,1,0,1,0,,0,,X,1011
1.0,Mainz,Stuttgart,2,0,2,3,0,,0,,1,1011
1.0,Dortmund,Leverkusen,0,2,-2,0,0,,0,,2,1011
2.0,Kaiserslautern,Bayern Munich,2,0,2,3,2,3.0,2,3.0,1,1011
2.0,Ein Frankfurt,Hamburg,1,3,-2,0,11,0.0,11,0.0,2,1011
2.0,Nurnberg,Freiburg,1,2,-1,0,10,1.0,10,1.0,2,1011
2.0,Schalke 04,Hannover,1,2,-1,0,12,0.0,12,0.0,2,1011
2.0,St Pauli,Hoffenheim,0,1,-1,0,5,3.0,5,3.0,2,1011
2.0,Werder Bremen,FC Koln,4,2,2,3,18,0.0,18,0.0,1,1011
2.0,Wolfsburg,Mainz,3,4,-1,0,13,0.0,13,0.0,2,1011
2.0,Leverkusen,M'gladbach,3,6,-3,0,3,3.0,3,3.0,2,1011
2.0,Stuttgart,Dortmund,1,3,-2,0,17,0.0,17,0.0,2,1011
3.0,Hoffenheim,Schalke 04,2,0,2,3,1,3.0,1,3.0,1,1011
3.0,Bayern Munich,Werder Bremen,0,0,0,1,9,1.5,9,1.5,X,1011
3.0,Dortmund,Wolfsburg,2,0,2,3,8,1.5,8,1.5,1,1011
3.0,Freiburg,Stuttgart,2,1,1,3,10,1.5,10,1.5,1,1011
3.0,Hamburg,Nurnberg,1,1,0,1,3,3.0,3,3.0,X,1011
3.0,Hannover,Leverkusen,2,2,0,1,5,3.0,5,3.0,X,1011
3.0,M'gladbach,Ein Frankfurt,0,4,-4,0,6,2.0,6,2.0,2,1011
3.0,FC Koln,St Pauli,1,0,1,3,17,0.0,17,0.0,1,1011
3.0,Mainz,Kaiserslautern,2,1,1,3,4,3.0,4,3.0,1,1011
4.0,Ein Frankfurt,Freiburg,0,1,-1,0,12,1.0,12,1.0,2,1011
4.0,Bayern Munich,FC Koln,0,0,0,1,8,1.3333333333333333,8,1.3333333333333333,X,1011
4.0,Kaiserslautern,Hoffenheim,2,2,0,1,5,2.0,5,2.0,X,1011
4.0,Stuttgart,M'gladbach,7,0,7,3,18,0.0,18,0.0,1,1011
4.0,Werder Bremen,Mainz,0,2,-2,0,11,1.3333333333333333,11,1.3333333333333333,2,1011
4.0,Wolfsburg,Hannover,2,0,2,3,17,0.0,17,0.0,1,1011
4.0,Leverkusen,Nurnberg,0,0,0,1,9,1.3333333333333333,9,1.3333333333333333,X,1011
4.0,Schalke 04,Dortmund,1,3,-2,0,16,0.0,16,0.0,2,1011
4.0,St Pauli,Hamburg,1,1,0,1,13,1.0,13,1.0,X,1011
5.0,Mainz,FC Koln,2,0,2,3,1,3.0,1,3.0,1,1011
5.0,Hoffenheim,Bayern Munich,1,2,-1,0,2,2.5,2,2.5,2,1011
5.0,Hannover,Werder Bremen,4,1,3,3,7,1.75,7,1.75,1,1011
5.0,Dortmund,Kaiserslautern,5,0,5,3,3,2.25,3,2.25,1,1011
5.0,Freiburg,Schalke 04,1,2,-1,0,4,2.25,4,2.25,2,1011
5.0,Hamburg,Wolfsburg,1,3,-2,0,5,2.0,5,2.0,2,1011
5.0,Leverkusen,Ein Frankfurt,2,1,1,3,9,1.25,9,1.25,1,1011
5.0,M'gladbach,St Pauli,1,2,-1,0,13,1.0,13,1.0,2,1011
5.0,Nurnberg,Stuttgart,2,1,1,3,16,0.75,16,0.75,1,1011
6.0,FC Koln,Hoffenheim,1,1,0,1,13,0.8,13,0.8,X,1011
6.0,Werder Bremen,Hamburg,3,2,1,3,14,0.8,14,0.8,1,1011
6.0,Stuttgart,Leverkusen,1,4,-3,0,16,0.6,16,0.6,2,1011
