Matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,AvgPointDelta,GoalDifference,HomePoints,AwayPoints,result,Season
1.0,Dortmund,Hamburg,3,1,0,,0,,,2,3,0,1,1112
1.0,Augsburg,Freiburg,2,2,0,,0,,,0,1,1,X,1112
1.0,FC Koln,Wolfsburg,0,3,0,,0,,,-3,0,3,2,1112
1.0,Hannover,Hoffenheim,2,1,0,,0,,,1,3,0,1,1112
1.0,Hertha,Nurnberg,0,1,0,,0,,,-1,0,3,2,1112
1.0,Stuttgart,Schalke 04,3,0,0,,0,,,3,3,0,1,1112
1.0,Werder Bremen,Kaiserslautern,2,0,0,,0,,,2,3,0,1,1112
1.0,Bayern Munich,M'gladbach,0,1,0,,0,,,-1,0,3,2,1112
1.0,Mainz,Leverkusen,2,0,0,,0,,,2,3,0,1,1112
2.0,Wolfsburg,Bayern Munich,0,1,2,3.0,2,3.0,0.0,-1,0,3,2,1112
2.0,Schalke 04,FC Koln,5,1,18,0.0,18,0.0,0.0,4,3,0,1,1112
2.0,Nurnberg,Hannover,1,2,8,3.0,8,3.0,0.0,-1,0,3,2,1112
2.0,Hamburg,Hertha,2,2,14,0.0,14,0.0,0.0,0,1,1,X,1112
2.0,Hoffenheim,Dortmund,1,0,13,0.0,13,0.0,0.0,1,3,0,1,1112
2.0,Freiburg,Mainz,1,2,10,1.0,10,1.0,0.0,-1,0,3,2,1112
2.0,M'gladbach,Stuttgart,1,1,7,3.0,7,3.0,0.0,0,1,1,X,1112
2.0,Kaiserslautern,Augsburg,1,1,15,0.0,15,0.0,0.0,0,1,1,X,1112
2.0,Leverkusen,Werder Bremen,1,0,16,0.0,16,0.0,0.0,1,3,0,1,1112
3.0,M'gladbach,Wolfsburg,4,1,4,2.0,4,2.0,0.0,3,3,0,1,1112
3.0,Stuttgart,Leverkusen,0,1,3,2.0,3,2.0,0.0,-1,0,3,2,1112
3.0,Werder Bremen,Freiburg,5,3,8,1.5,8,1.5,0.0,2,3,0,1,1112
3.0,FC Koln,Kaiserslautern,1,1,18,0.0,18,0.0,0.0,0,1,1,X,1112
3.0,Augsburg,Hoffenheim,0,2,13,1.0,13,1.0,0.0,-2,0,3,2,1112
3.0,Bayern Munich,Hamburg,5,0,9,1.5,9,1.5,0.0,5,3,0,1,1112
3.0,Dortmund,Nurnberg,2,0,6,1.5,6,1.5,0.0,2,3,0,1,1112
