matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Goal_difference,Points_Home,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,result,AvgPointDelta,Season
1.0,Dortmund,Werder Bremen,2,1,1,3,0,,0,,1,,1213
1.0,Augsburg,Fortuna Dusseldorf,0,2,-2,0,0,,0,,2,,1213
1.0,Ein Frankfurt,Leverkusen,2,1,1,3,0,,0,,1,,1213
1.0,Freiburg,Mainz,1,1,0,1,0,,0,,X,,1213
1.0,Greuther Furth,Bayern Munich,0,3,-3,0,0,,0,,2,,1213
1.0,Hamburg,Nurnberg,0,1,-1,0,0,,0,,2,,1213
1.0,M'gladbach,Hoffenheim,2,1,1,3,0,,0,,1,,1213
1.0,Stuttgart,Wolfsburg,0,1,-1,0,0,,0,,2,,1213
1.0,Hannover,Schalke 04,2,2,0,1,0,,0,,X,,1213
2.0,Mainz,Greuther Furth,0,1,-1,0,10,1.0,10,1.0,2,0.0,1213
2.0,Fortuna Dusseldorf,M'gladbach,0,0,0,1,2,3.0,2,3.0,X,0.0,1213
2.0,Hoffenheim,Ein Frankfurt,0,4,-4,0,13,0.0,13,0.0,2,0.0,1213
2.0,Leverkusen,Freiburg,2,0,2,3,14,0.0,14,0.0,1,0.0,1213
2.0,Nurnberg,Dortmund,1,1,0,1,6,3.0,6,3.0,X,0.0,1213
2.0,Schalke 04,Augsburg,3,1,2,3,11,1.0,11,1.0,1,0.0,1213
2.0,Werder Bremen,Hamburg,2,0,2,3,16,0.0,16,0.0,1,0.0,1213
2.0,Bayern Munich,Stuttgart,6,1,5,3,1,3.0,1,3.0,1,0.0,1213
2.0,Wolfsburg,Hannover,0,4,-4,0,7,3.0,7,3.0,2,0.0,1213
3.0,Augsburg,Wolfsburg,0,0,0,1,16,0.0,16,0.0,X,0.0,1213
3.0,Bayern Munich,Mainz,3,1,2,3,1,3.0,1,3.0,1,0.0,1213
3.0,Dortmund,Leverkusen,3,0,3,3,6,2.0,6,2.0,1,0.0,1213
3.0,Greuther Furth,Schalke 04,0,2,-2,0,11,1.5,11,1.5,2,0.0,1213
3.0,Hannover,Werder Bremen,3,2,1,3,3,2.0,3,2.0,1,0.0,1213
