matchday,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomePosition,HomeAvgPoints,AwayPosition,AwayAvgPoints,Goal_difference,Points_Home,result,AvgPointDelta,Season
1.0,Bayern Munich,M'gladbach,3,1,0,,0,,2,3,1,,1314
1.0,Augsburg,Dortmund,0,4,0,,0,,-4,0,2,,1314
1.0,Braunschweig,Werder Bremen,0,1,0,,0,,-1,0,2,,1314
1.0,Hannover,Wolfsburg,2,0,0,,0,,2,3,1,,1314
1.0,Hertha,Ein Frankfurt,6,1,0,,0,,5,3,1,,1314
1.0,Hoffenheim,Nurnberg,2,2,0,,0,,0,1,X,,1314
1.0,Leverkusen,Freiburg,3,1,0,,0,,2,3,1,,1314
1.0,Mainz,Stuttgart,3,2,0,,0,,1,3,1,,1314
1.0,Schalke 04,Hamburg,3,3,0,,0,,0,1,X,,1314
2.0,Wolfsburg,Schalke 04,4,0,16,0.0,16,0.0,4,3,1,0.0,1314
2.0,Werder Bremen,Augsburg,1,0,7,3.0,7,3.0,1,3,1,0.0,1314
2.0,Stuttgart,Leverkusen,0,1,13,0.0,13,0.0,-1,0,2,0.0,1314
2.0,Freiburg,Mainz,1,2,14,0.0,14,0.0,-1,0,2,0.0,1314
2.0,Hamburg,Hoffenheim,1,5,8,1.0,8,1.0,-4,0,2,0.0,1314
2.0,Ein Frankfurt,Bayern Munich,0,1,18,0.0,18,0.0,-1,0,2,0.0,1314
2.0,M'gladbach,Hannover,3,0,15,0.0,15,0.0,3,3,1,0.0,1314
2.0,Dortmund,Braunschweig,2,1,2,3.0,2,3.0,1,3,1,0.0,1314
2.0,Nurnberg,Hertha,2,2,10,1.0,10,1.0,0,1,X,0.0,1314
3.0,Dortmund,Werder Bremen,1,0,1,3.0,1,3.0,1,3,1,0.0,1314
3.0,Leverkusen,M'gladbach,4,2,3,3.0,3,3.0,2,3,1,0.0,1314
3.0,Mainz,Wolfsburg,2,0,4,3.0,4,3.0,2,3,1,0.0,1314
3.0,Hoffenheim,Freiburg,3,3,7,2.0,7,2.0,0,1,X,0.0,1314
3.0,Bayern Munich,Nurnberg,2,0,2,3.0,2,3.0,2,3,1,0.0,1314
3.0,Hannover,Schalke 04,2,1,10,1.5,10,1.5,1,3,1,0.0,1314
3.0,Hertha,Hamburg,1,0,6,2.0,6,2.0,1,3,1,0.0,1314
3.0,Augsburg,Stuttgart,2,1,17,0.0,17,0.0,1,3,1,0.0,1314
3.0,Braunschweig,Ein Frankfurt,0,2,14,0.0,14,0.0,-2,0,2,0.0,1314
4.0,Freiburg,Bayern Munich,1,1,14,0.3333333333333333,14,0.3333333333333333,0,1,X,0.0,1314
4.0,Wolfsburg,Hertha,2,0,9,1.0,9,1.0,2,3,1,0.0,1314
4.0,Schalke 04,Leverkusen,2,0,16,0.3333333333333333,16,0.3333333333333333,2,3,1,0.0,1314
4.0,Nurnberg,Augsburg,0,1,13,0.6666666666666666,13,0.6666666666666666,-1,0,2,0.0,1314
4.0,Hannover,Mainz,4,1,7,2.0,7,2.0,3,3,1,0.0,1314
4.0,Hamburg,Braunschweig,4,0,15,0.3333333333333333,15,0.3333333333333333,4,3,1,0.0,1314
4.0,M'gladbach,Werder Bremen,4,1,10,1.0,10,1.0,3,3,1,0.0,1314
4.0,Ein Frankfurt,Dortmund,1,2,12,1.0,12,1.0,-1,0,2,0.0,1314
4.0,Stuttgart,Hoffenheim,6,2,17,0.0,17,0.0,4,3,1,0.0,1314
5.0,Hertha,Stuttgart,0,1,6,1.75,6,1.75,-1,0,2,0.0,1314
5.0,Mainz,Schalke 04,0,1,5,2.25,5,2.25,-1,0,2,0.0,1314
5.0,Werder Bremen,Ein Frankfurt,0,3,9,1.5,9,1.5,-3,0,2,0.0,1314
5.0,Leverkusen,Wolfsburg,3,1,4,2.25,4,2.25,2,3,1,0.0,1314
5.0,Augsburg,Freiburg,2,1,10,1.5,10,1.5,1,3,1,0.0,1314
5.0,Bayern Munich,Hannover,2,0,2,2.5,2,2.5,2,3,1,0.0,1314
5.0,Dortmund,Hamburg,6,2,1,3.0,1,3.0,4,3,1,0.0,1314
5.0,Braunschweig,Nurnberg,1,1,18,0.0,18,0.0,0,1,X,0.0,1314
5.0,Hoffenheim,M'gladbach,2,1,11,1.25,11,1.25,1,3,1,0.0,1314
6.0,M'gladbach,Braunschweig,4,1,11,1.2,11,1.2,3,3,1,0.0,1314
6.0,Hamburg,Werder Bremen,0,2,15,0.8,15,0.8,-2,0,2,0.0,1314
6.0,Hannover,Augsburg,2,1,4,1.8,4,1.8,1,3,1,0.0,1314
6.0,Mainz,Leverkusen,1,4,5,1.8,5,1.8,-3,0,2,0.0,1314
6.0,Schalke 04,Bayern Munich,0,4,9,1.4,9,1.4,-4,0,2,0.0,1314
6.0,Wolfsburg,Hoffenheim,2,1,12,1.2,12,1.2,1,3,1,0.0,1314
6.0,Nurnberg,Dortmund,1,1,16,0.6,16,0.6,0,1,X,0.0,1314
6.0,Freiburg,Hertha,1,1,17,0.4,17,0.4,0,1,X,0.0,1314
6.0,Stuttgart,Ein Frankfurt,1,1,10,1.2,10,1.2,0,1,X,0.0,1314
7.0,Augsburg,M'gladbach,2,2,7,1.5,7,1.5,0,1,X,0.0,1314
7.0,Hertha,Mainz,3,1,10,1.3333333333333333,10,1.3333333333333333,2,3,1,0.0,1314
7.0,Hoffenheim,Schalke 04,3,3,11,1.3333333333333333,11,1.3333333333333333,0,1,X,0.0,1314
7.0,Leverkusen,Hannover,2,0,3,2.5,3,2.5,2,3,1,0.0,1314
7.0,Ein Frankfurt,Hamburg,2,2,13,1.1666666666666667,13,1.1666666666666667,0,1,X,0.0,1314
7.0,Bayern Munich,Wolfsburg,1,0,1,2.6666666666666665,1,2.6666666666666665,1,3,1,0.0,1314
7.0,Dortmund,Freiburg,5,0,2,2.6666666666666665,2,2.6666666666666665,5,3,1,0.0,1314
7.0,Braunschweig,Stuttgart,0,4,18,0.16666666666666666,18,0.16666666666666666,-4,0,2,0.0,1314
7.0,Werder Bremen,Nurnberg,3,3,9,1.5,9,1.5,0,1,X,0.0,1314
8.0,Hannover,Hertha,1,1,4,1.7142857142857142,4,1.7142857142857142,0,1,X,0.0,1314
8.0,Leverkusen,Bayern Munich,1,1,3,2.5714285714285716,3,2.5714285714285716,0,1,X,0.0,1314
8.0,Mainz,Hoffenheim,2,2,12,1.2857142857142858,12,1.2857142857142858,0,1,X,0.0,1314
8.0,M'gladbach,Dortmund,2,0,7,1.4285714285714286,7,1.4285714285714286,2,3,1,0.0,1314
8.0,Schalke 04,Augsburg,4,1,14,1.1428571428571428,14,1.1428571428571428,3,3,1,0.0,1314
